;projectID;topic;title
270;101097989;HORIZON-EIC-2022-TRANSITIONOPEN-01;EIC Transition Open 2022
271;101099000;HORIZON-EIC-2022-TRANSITIONOPEN-01;EIC Transition Open 2022
272;101079489;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
273;101090280;HORIZON-WIDERA-2022-TALENTS-02-01;Fostering balanced brain circulation – ERA Fellowships
274;101058224;HORIZON-EIC-2021-TRANSITIONOPEN-01;EIC Transition Open 2021
275;101046923;HORIZON-EIC-2021-PATHFINDEROPEN-01-01;EIC Pathfinder Open 2021
276;190148437;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
277;101071626;HORIZON-EIE-2021-SCALEUP-01-03;Women TechEU
278;190196128;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
279;190107075;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
280;101090315;HORIZON-WIDERA-2022-TALENTS-02-01;Fostering balanced brain circulation – ERA Fellowships
281;101059994;HORIZON-WIDERA-2021-ACCESS-02-01;Twinning Western Balkans Special
282;101090336;HORIZON-WIDERA-2022-TALENTS-02-01;Fostering balanced brain circulation – ERA Fellowships
283;101090344;HORIZON-WIDERA-2022-TALENTS-02-01;Fostering balanced brain circulation – ERA Fellowships
284;190134039;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
285;101058240;HORIZON-EIC-2021-TRANSITIONCHALLENGES-01-01;Medical Technology and Devices: from Lab to Patient
286;101079009;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
287;190132953;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
288;190171583;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-01;Strategic Digital and Health Technologies
289;101071854;HORIZON-EIE-2021-SCALEUP-01-03;Women TechEU
290;190173644;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
291;190124596;HORIZON-EIC-2022-ACCELERATORCHALLENGES-01;EIC Accelerator Challenge: Technologies for Open Strategic Autonomy
292;101101966;HORIZON-ER-JU-2022-FA3-01;Intelligent & Integrated asset management
